Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
APCDD1L,APCDD1L,reviewed,Homo sapiens (Human),Q8NCL9
POR;CYPOR,POR,reviewed,Homo sapiens (Human),P16435
PYGL,PYGL,reviewed,Homo sapiens (Human),P06737
SIL1,SIL1,unreviewed,Homo sapiens (Human),D6RG16
SH3BP2,SH3BP2,unreviewed,Homo sapiens (Human),D6R995
ACAD11,ACAD11,unreviewed,Homo sapiens (Human),H0Y9C6
PCM1,PCM1,unreviewed,Homo sapiens (Human),E9PGW9
Aamp,Aamp,unreviewed,Rattus norvegicus (Rat),G3V7V2
MED29;IXL;hCG_43365,MED29,unreviewed,Homo sapiens (Human),B4DUA7
PRPSAP2,PRPSAP2,unreviewed,Homo sapiens (Human),E7EPA1
C1qb;Adia;rCG_30695,C1qb,unreviewed,Rattus norvegicus (Rat),G3V7N9
STK11IP,STK11IP,unreviewed,Homo sapiens (Human),M0QYE5
RPL13A,RPL13A,unreviewed,Homo sapiens (Human),M0QZU1
ACAT1,ACAT1,unreviewed,Homo sapiens (Human),A0A5F9ZHD4
GAK;hCG_1982003,GAK,unreviewed,Homo sapiens (Human),D6RE78
C18orf21;XTP13;PNAS-124;PNAS-131,C18orf21,reviewed,Homo sapiens (Human),Q32NC0
TRIM59,TRIM59,unreviewed,Homo sapiens (Human),F5GZP3
FRMD4A;hCG_1811390,FRMD4A,unreviewed,Homo sapiens (Human),Q5T376
TRMT5;KIAA1393;TRM5,TRMT5,reviewed,Homo sapiens (Human),Q32P41
PSMD11,PSMD11,unreviewed,Homo sapiens (Human),J3KSW3
GPC4;UNQ474/PRO937,GPC4,reviewed,Homo sapiens (Human),O75487
SYNE1,SYNE1,unreviewed,Homo sapiens (Human),A0A5F9ZHE1
CNOT3,CNOT3,unreviewed,Homo sapiens (Human),A0A0G2JPP0
MICB,MICB,unreviewed,Homo sapiens (Human),A0A0G2JHB5
CCNL1;BM-001;UNQ530/PRO1073,CCNL1,reviewed,Homo sapiens (Human),Q9UK58
POLK,POLK,unreviewed,Homo sapiens (Human),D6R9M8
METRNL,METRNL,reviewed,Homo sapiens (Human),Q641Q3
Gins4;Sld5,Gins4,reviewed,Rattus norvegicus (Rat),Q499W2
CSNK1G2,CSNK1G2,unreviewed,Homo sapiens (Human),A0A087WWF5
TTLL5;KIAA0998;STAMP,TTLL5,reviewed,Homo sapiens (Human),Q6EMB2
Lrpprc;Lrp157,Lrpprc,reviewed,Rattus norvegicus (Rat),Q5SGE0
Scly,Scly,reviewed,Rattus norvegicus (Rat),Q68FT9
SUZ12;CHET9;JJAZ1;KIAA0160,SUZ12,reviewed,Homo sapiens (Human),Q15022
MT1H,MT1H,unreviewed,Homo sapiens (Human),H3BTC4
SPECC1L,SPECC1L,unreviewed,Homo sapiens (Human),C9JLY8
CPXM2;CPX2;UNQ676/PRO1310,CPXM2,reviewed,Homo sapiens (Human),Q8N436
Cfi;If,Cfi,reviewed,Rattus norvegicus (Rat),Q9WUW3
Chmp4b,Chmp4b,unreviewed,Rattus norvegicus (Rat),M0RCH6
WDR1,WDR1,reviewed,Homo sapiens (Human),O75083
NUBP2,NUBP2,unreviewed,Homo sapiens (Human),H3BQR2
Tpst1,Tpst1,reviewed,Rattus norvegicus (Rat),Q3KR92
Tax1bp3,Tax1bp3,reviewed,Rattus norvegicus (Rat),Q4QQV1
MRPL9,MRPL9,unreviewed,Homo sapiens (Human),A0A1W2PQB6
UBR1,UBR1,unreviewed,Homo sapiens (Human),H3BS20
MINK1,MINK1,unreviewed,Homo sapiens (Human),A0A590UJE1
HMGB2;HMG2,HMGB2,reviewed,Homo sapiens (Human),P26583
SEC14L1,SEC14L1,unreviewed,Homo sapiens (Human),K7ERB3
Oas2,Oas2,unreviewed,Rattus norvegicus (Rat),M0RBB5
IGKV3-11,IGKV3-11,reviewed,Homo sapiens (Human),P04433
GGTLC1;GGTLA4,GGTLC1,reviewed,Homo sapiens (Human),Q9BX51
PARN,PARN,unreviewed,Homo sapiens (Human),A0A494C0Q6
