Gene names,Gene names  (primary ),Status,Organism,Protein ID
ETFA,ETFA,unreviewed,Homo sapiens (Human),H0YKF0
SNX8,SNX8,unreviewed,Homo sapiens (Human),C9J271
UBA1,UBA1,unreviewed,Homo sapiens (Human),Q5JRS2
LPCAT2 AGPAT11 AYTL1,LPCAT2,reviewed,Homo sapiens (Human),Q7L5N7
TRA2B SFRS10,TRA2B,reviewed,Homo sapiens (Human),P62995
ERC1,ERC1,unreviewed,Homo sapiens (Human),K7EP25
PPT1,PPT1,unreviewed,Homo sapiens (Human),A0A286YFF7
CNOT3,CNOT3,unreviewed,Homo sapiens (Human),H7C5J4
GRIPAP1,GRIPAP1,unreviewed,Homo sapiens (Human),A0A087WZF5
ITCH,ITCH,reviewed,Homo sapiens (Human),Q96J02
PI4K2A,PI4K2A,reviewed,Homo sapiens (Human),Q9BTU6
RPS27AP5,RPS27AP5,unreviewed,Homo sapiens (Human),A0A2R8Y422
MRE11,MRE11,unreviewed,Homo sapiens (Human),F8W7U8
NDUFB5,NDUFB5,unreviewed,Homo sapiens (Human),H0Y886
MRPL51,MRPL51,unreviewed,Homo sapiens (Human),A0A087WU28
UCHL1,UCHL1,reviewed,Homo sapiens (Human),P09936
ARHGEF1,ARHGEF1,reviewed,Homo sapiens (Human),Q92888
DHCR24,DHCR24,unreviewed,Homo sapiens (Human),A0A3B3IT58
CRYZL1,CRYZL1,unreviewed,Homo sapiens (Human),C9JAL0
SCAMP2,SCAMP2,unreviewed,Homo sapiens (Human),H3BN93
RNH1,RNH1,unreviewed,Homo sapiens (Human),H0YCR7
SSR1,SSR1,unreviewed,Homo sapiens (Human),C9J3L8
TRPM4 LTRPC4,TRPM4,reviewed,Homo sapiens (Human),Q8TD43
RUFY3,RUFY3,unreviewed,Homo sapiens (Human),H0Y8G6
GJC1 GJA7,GJC1,reviewed,Homo sapiens (Human),P36383
RPS5,RPS5,unreviewed,Homo sapiens (Human),M0R0F0
HECW2,HECW2,unreviewed,Homo sapiens (Human),A0A2R8Y6F3
ARMCX2,ARMCX2,unreviewed,Homo sapiens (Human),A0A0B4J1X4
ERI3,ERI3,unreviewed,Homo sapiens (Human),A0A3B3ISV9
PRKAR1A,PRKAR1A,unreviewed,Homo sapiens (Human),K7EK41
HSP90B1,HSP90B1,unreviewed,Homo sapiens (Human),Q96GW1
POLR2E,POLR2E,unreviewed,Homo sapiens (Human),A0A0A0MQR7
NDUFAF2,NDUFAF2,unreviewed,Homo sapiens (Human),H0YA50
HNRNPU,HNRNPU,unreviewed,Homo sapiens (Human),A0A1W2PPH7
SLC16A7 MCT2,SLC16A7,reviewed,Homo sapiens (Human),O60669
ILK,ILK,unreviewed,Homo sapiens (Human),A0A087WW45
BCKDK,BCKDK,unreviewed,Homo sapiens (Human),H3BNP3
SLC30A7 ZNT7 ZNTL2,SLC30A7,reviewed,Homo sapiens (Human),Q8NEW0
PMPCB hCG_18192,PMPCB,unreviewed,Homo sapiens (Human),G3V0E4
STON1,STON1,unreviewed,Homo sapiens (Human),H7C1E2
RABGAP1 HSPC094,RABGAP1,reviewed,Homo sapiens (Human),Q9Y3P9
SLC22A18,SLC22A18,unreviewed,Homo sapiens (Human),A0A0J9YWM3
MLST8,MLST8,unreviewed,Homo sapiens (Human),A0A0A0MR05
SLU7,SLU7,unreviewed,Homo sapiens (Human),E5RK41
ILF2 NF45 PRO3063,ILF2,reviewed,Homo sapiens (Human),Q12905
SERF2,SERF2,unreviewed,Homo sapiens (Human),F8WBV6
PNPLA6,PNPLA6,unreviewed,Homo sapiens (Human),A0A2R8Y7E1
MICU1,MICU1,unreviewed,Homo sapiens (Human),F6XEV2
ACOX1,ACOX1,unreviewed,Homo sapiens (Human),I3L2U4
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A1W2PRE5
SLC7A11,SLC7A11,reviewed,Homo sapiens (Human),Q9UPY5
PGRMC2 hCG_16401,PGRMC2,unreviewed,Homo sapiens (Human),U3KPU8
MAP1LC3B hCG_32374,MAP1LC3B,unreviewed,Homo sapiens (Human),H3BTL1
DCTN1,DCTN1,unreviewed,Homo sapiens (Human),C9JTE5
NEK7,NEK7,unreviewed,Homo sapiens (Human),F8WAG2
NEK9,NEK9,unreviewed,Homo sapiens (Human),G3V5V0
STAG1 DKFZp781D1416,STAG1,unreviewed,Homo sapiens (Human),Q68DW7
GSK3B,GSK3B,reviewed,Homo sapiens (Human),P49841
