Gene names,Gene names  (primary ),Status,Organism,Protein ID
MRPS28;MRPS35;HSPC007,MRPS28,reviewed,Homo sapiens (Human),Q9Y2Q9
HIP1R,HIP1R,unreviewed,Homo sapiens (Human),H0YH66
MYO1H,MYO1H,reviewed,Homo sapiens (Human),Q8N1T3
NELFE,NELFE,unreviewed,Homo sapiens (Human),A0A0A0MSN9
NRP2;VEGF165R2,NRP2,reviewed,Homo sapiens (Human),O60462
SP100,SP100,unreviewed,Homo sapiens (Human),H7C1G8
PRKAB1,PRKAB1,unreviewed,Homo sapiens (Human),F5H610
PDLIM2,PDLIM2,unreviewed,Homo sapiens (Human),A0A087WXJ0
HADHB,HADHB,unreviewed,Homo sapiens (Human),C9JE81
CLTB,CLTB,unreviewed,Homo sapiens (Human),D6RJD1
MRPL41;BMRP;MRPL27;RPML27;PIG3,MRPL41,reviewed,Homo sapiens (Human),Q8IXM3
DDX51,DDX51,reviewed,Homo sapiens (Human),Q8N8A6
COX5A,COX5A,reviewed,Homo sapiens (Human),P20674
TNS1,TNS1,unreviewed,Homo sapiens (Human),A0A494C067
ZYX,ZYX,unreviewed,Homo sapiens (Human),H0Y2Y8
METTL7A,METTL7A,unreviewed,Homo sapiens (Human),H0YI09
CFL1,CFL1,unreviewed,Homo sapiens (Human),E9PS23
CNOT1,CNOT1,unreviewed,Homo sapiens (Human),H3BNB1
SMAD3,SMAD3,unreviewed,Homo sapiens (Human),H0YNV1
DPP3,DPP3,unreviewed,Homo sapiens (Human),E9PKK8
MPRIP,MPRIP,unreviewed,Homo sapiens (Human),K7EJ14
CASKIN2,CASKIN2,unreviewed,Homo sapiens (Human),J3QRN1
SP100,SP100,unreviewed,Homo sapiens (Human),C9JBL0
HNRNPU;C1orf199;HNRPU;SAFA;U21.1,HNRNPU,reviewed,Homo sapiens (Human),Q00839
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),E7EN40
MCM4,MCM4,unreviewed,Homo sapiens (Human),E5RFR3
CDK7;CAK;CAK1;CDKN7;MO15;STK1,CDK7,reviewed,Homo sapiens (Human),P50613
GSTT1;hCG_39955,GSTT1,unreviewed,Homo sapiens (Human),A0A0G2JMS2
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZGZ1
RAD23A,RAD23A,reviewed,Homo sapiens (Human),P54725
POGLUT3,POGLUT3,unreviewed,Homo sapiens (Human),H0YEM3
H6PD;GDH,H6PD,reviewed,Homo sapiens (Human),O95479
NDUFB10,NDUFB10,unreviewed,Homo sapiens (Human),H3BPJ9
RPL36AL,RPL36AL,reviewed,Homo sapiens (Human),Q969Q0
TXNL4A,TXNL4A,unreviewed,Homo sapiens (Human),K7ES07
DDX54,DDX54,unreviewed,Homo sapiens (Human),F8VRX4
COQ8B,COQ8B,unreviewed,Homo sapiens (Human),M0R2F4
PPP1R7,PPP1R7,unreviewed,Homo sapiens (Human),H7C003
CRAT,CRAT,unreviewed,Homo sapiens (Human),H0Y4Z7
ARL8B;ARL10C;GIE1,ARL8B,reviewed,Homo sapiens (Human),Q9NVJ2
CLN3,CLN3,unreviewed,Homo sapiens (Human),H3BQ48
SPAG7,SPAG7,unreviewed,Homo sapiens (Human),I3L0Q5
UFSP2,UFSP2,unreviewed,Homo sapiens (Human),D6RA67
THBS1;TSP;TSP1,THBS1,reviewed,Homo sapiens (Human),P07996
IPO7,IPO7,unreviewed,Homo sapiens (Human),E9PLJ0
PBK;TOPK,PBK,reviewed,Homo sapiens (Human),Q96KB5
RPL13,RPL13,unreviewed,Homo sapiens (Human),H3BTH3
EXD2,EXD2,unreviewed,Homo sapiens (Human),C9JLF4
RACK1,RACK1,unreviewed,Homo sapiens (Human),D6RBD0
DDX5,DDX5,unreviewed,Homo sapiens (Human),J3QKN9
CD46;MCP;MIC10,CD46,reviewed,Homo sapiens (Human),P15529
AP1G1,AP1G1,unreviewed,Homo sapiens (Human),H3BV30
ELOB,ELOB,unreviewed,Homo sapiens (Human),I3L0M9
STX10,STX10,unreviewed,Homo sapiens (Human),K7ELY2
YTHDF2,YTHDF2,unreviewed,Homo sapiens (Human),S4R3V3
GLT8D1;GALA4A;AD-017;MSTP137;UNQ572/PRO1134,GLT8D1,reviewed,Homo sapiens (Human),Q68CQ7
SMG9,SMG9,unreviewed,Homo sapiens (Human),M0QZH1
SNX7,SNX7,unreviewed,Homo sapiens (Human),E9PNL2
PPM1A;PPPM1A,PPM1A,reviewed,Homo sapiens (Human),P35813
THOC5,THOC5,unreviewed,Homo sapiens (Human),C9JXG5
KYNU,KYNU,unreviewed,Homo sapiens (Human),A0A087X297
PPWD1,PPWD1,unreviewed,Homo sapiens (Human),D6RB19
APOE,APOE,reviewed,Homo sapiens (Human),P02649
EIF3M,EIF3M,unreviewed,Homo sapiens (Human),E9PRY0
